x,y,z,id,height
625207.05,6103342.49,833.34,418,24.0099829102
625238.18,6103264.9,835.55,419,28.1300170898
625419.05,6103184.15,842.42,420,25.4799975586
625586.12,6103282.77,840.38,421,24.9700268555
625232.8,6103380.75,835.49,422,25.1699926758
625172.23,6103311.73,828.39,423,27.4299780273
625288.29,6103493.25,834.1,424,22.800012207
625210.61,6103257.84,832.39,425,25.6000219727
625231.32,6103232.03,838.81,426,26.9400048828
625592.89,6103291.52,838.93,427,24.130012207
625456.94,6103236.7,844.33,428,25.2599926758
625377.34,6103210.02,845.75,429,26.3400268555
625293.35,6103150.55,846.16,430,26.4200097656
625287.29,6103360.27,838.76,431,24.4500024414
625470.02,6103096.23,837.49,432,28.5899755859
625216.73,6103301.14,833.27,433,26.2399707031
625599.57,6103313.33,840.34,434,27.6999853516
625562.28,6103285.12,842.66,435,25.6299707031
625252.11,6103213.57,842.05,436,27.4799926758
625501.38,6103153.87,837.62,437,28.9400073242
625226.46,6103343.07,836.95,438,26.0400268555
625293.18,6103327.06,841.76,439,26.4000146484
625408.22,6103265.18,849.98,440,28.529987793
625173.73,6103253.96,832.11,441,26.7000268555
625399.19,6103237.04,845.77,442,25.319987793
625254.32,6103334.96,836.56,443,23.7100244141
625605.27,6103316.93,841.72,444,30.0299975586
625194.09,6103300.1,830.39,445,27.5499731445
625554.05,6103258.06,846.2,446,30.1899902344
625463.36,6103293.1,844.86,447,23.0199731445
625343.51,6103366.93,841.89,448,24.6500097656
625154.79,6103326.4,830.72,449,29.7300097656
625407.58,6103360.25,846.57,450,26.4500048828
625216.97,6103368.25,835.24,451,25.0600073242
625418.92,6103301.74,847.48,452,25.7600292969
625273.81,6103419.52,835.05,453,23.5299804688
625186.46,6103218.66,833.54,454,24.1999731445
625441.15,6103154.78,840.65,455,26.2800048828
625271.29,6103414.34,835.44,456,24.2999853516
625351.51,6103476.63,836.9,457,22.100012207
625436.01,6103233.97,834.53,458,14.3899853516
625302.55,6103423.47,837.31,459,24.2700219727
625358.43,6103253.75,840.44,460,23.0200170898
625346.67,6103176.62,842.97,461,24.3600146484
625389.92,6103349.64,844.54,462,24.5999975586
625516.47,6103313.75,845.25,463,23.7800292969
625544.15,6103353.61,843.98,464,26.3399853516
625387.66,6103267.22,847.82,465,27.4100268555
625158.48,6103232.45,831.85,466,27.4400268555
625523.9,6103348.18,846.03,467,26.2599804688
625204.61,6103287.18,832.61,468,28.4400170898
625169.93,6103221.64,832.34,469,25.3700292969
625521.99,6103172.52,832.71,470,29.9200219727
625408.32,6103244.75,848.42,471,27.3299731445
625441.56,6103148.88,842.16,472,27.6800195313
625489.17,6103345.6,846.93,473,26.3999707031
625536.46,6103199.57,834.6,474,27.0699707031
625172.76,6103350.18,831.98,475,24.9099926758
625470.81,6103159.91,840.99,476,32.5000097656
625224.25,6103440.33,835.22,477,26.5299975586
625404.81,6103101.58,841.71,478,27.259987793
625228.99,6103179.34,841.39,479,25.4899755859
625304.46,6103297.14,842.22,480,27.4800097656
625241.06,6103410.16,833.4,481,23.7099975586
625441.41,6103131.43,840.88,482,26.9000195313
625229.83,6103346.58,835.19,483,24.1599707031
625268.37,6103445.31,836.57,484,25.369987793
625224.67,6103262.03,836.18,485,29.2500073242
625198.46,6103239.32,836.34,486,27.1700170898
625238.36,6103257.89,836.42,487,28.0399951172
625373.07,6103154.06,842,488,22.9400024414
625540.3,6103214.64,836.76,489,26.0300195313
625334.36,6103164.52,839.54,490,20.7599707031
625422.13,6103247.18,847.67,491,26.2899951172
625320.7,6103311.33,843.14,492,27.5599829102
625338.13,6103282.3,843.91,493,27.0500146484
625460.22,6103138.67,839.45,494,29.2800170898
625489.91,6103267.98,847.22,495,28.420012207
625502.31,6103350.52,842.69,496,22.3400244141
625454.54,6103213.03,843.4,497,25.4800170898
625185.1,6103291.76,829.37,498,27.5600024414
625343.39,6103307.41,842.73,499,25.6499829102
625269.36,6103303.59,842.46,500,30.2900170898
625251.67,6103266.89,837.98,501,28.98
625609.38,6103294.36,839.39,502,27.0699926758
625483.5,6103371.22,846.28,503,27.1899731445
625450.96,6103297.52,847.43,504,24.9899975586
625356.74,6103287.08,840.45,505,22.6600219727
625185.7,6103387.52,833.54,506,25.5099707031
625601.27,6103305.49,838.77,507,25.8799853516
625418.88,6103124.66,843.23,508,28.2500195313
625393.43,6103140.33,845.37,509,28.4400073242
625477.64,6103159.21,837.83,510,29.6600170898
625180.85,6103275.48,831.54,511,28.3100195313
625370.64,6103294.24,842.8,512,23.8999755859
625523.78,6103278.81,847.08,513,27.2900219727
625475.58,6103389.47,841.55,514,23.5199707031
625206.64,6103268.8,830.14,515,25.2300268555
625302.64,6103362.63,840.13,516,24.9899853516
625566.48,6103256.71,839.38,517,24.8699902344
625203.52,6103406.5,834.29,518,26.7199926758
625358.16,6103454.38,837.56,519,22.5700097656
625316.14,6103374.31,842.95,520,27.2599975586
625197.22,6103387.88,831.28,521,22.7599804688
